county_name,state_name,Value
EDMONSON,KENTUCKY,520.2
WILSON,TENNESSEE,528.1
GREENE,TENNESSEE,528.3
GENEVA,ALABAMA,530.2
BOYLE,KENTUCKY,538.2
KALKASKA,MICHIGAN,538.5
AUTAUGA,ALABAMA,539.5
HOUSTON,ALABAMA,546.0
SNOHOMISH,WASHINGTON,550.9
SAN LUIS OBISPO,CALIFORNIA,552.8
PAGE,VIRGINIA,556.1
RHEA,TENNESSEE,558.0
BOTETOURT,VIRGINIA,559.1
MORGAN,ALABAMA,568.5
CULLMAN,ALABAMA,568.6
TALLADEGA,ALABAMA,569.9
METCALFE,KENTUCKY,570.0
GEAUGA,OHIO,585.9
MARTIN,INDIANA,599.1
HENRY,ALABAMA,603.4
NEWTON,INDIANA,606.4
LOUDON,TENNESSEE,620.7
BEAR LAKE,IDAHO,621.7
DUNN,WISCONSIN,621.8
TUSCALOOSA,ALABAMA,642.9
MONROE,KENTUCKY,657.3
LAWRENCE,ALABAMA,659.9
PIKE,INDIANA,662.7
PERRY,INDIANA,662.7
SANTA CLARA,CALIFORNIA,664.3
RICHLAND,WISCONSIN,669.0
MONTEREY,CALIFORNIA,670.9
OTSEGO,MICHIGAN,676.9
SAN DIEGO,CALIFORNIA,678.2
GREEN,KENTUCKY,680.3
WHATCOM,WASHINGTON,680.4
ADAMS,WISCONSIN,692.6
MCNAIRY,TENNESSEE,701.5
SONOMA,CALIFORNIA,707.7
PRINCE EDWARD,VIRGINIA,716.1
BUTTE,IDAHO,716.7
BULLITT,KENTUCKY,720.8
POWHATAN,VIRGINIA,726.0
WAYNE,MICHIGAN,727.8
CRAWFORD,WISCONSIN,728.5
PRINCE GEORGES,MARYLAND,730.5
VERMILLION,INDIANA,731.5
UNION,INDIANA,732.6
ST CROIX,WISCONSIN,733.8
HART,KENTUCKY,741.4
MONROE,WISCONSIN,742.9
ESCAMBIA,ALABAMA,747.2
MILWAUKEE,WISCONSIN,757.6
BENTON,INDIANA,773.3
CLARK,KENTUCKY,774.9
LAUDERDALE,ALABAMA,776.9
PLACER,CALIFORNIA,789.3
POLK,WISCONSIN,798.4
MERCER,KENTUCKY,800.0
HICKMAN,TENNESSEE,801.7
BALDWIN,ALABAMA,812.3
MCMINN,TENNESSEE,818.0
ONEIDA,IDAHO,819.4
LAWRENCE,INDIANA,830.1
PRINCE WILLIAM,VIRGINIA,841.3
DEARBORN,INDIANA,841.5
NOTTOWAY,VIRGINIA,842.2
GRUNDY,TENNESSEE,844.2
HARDIN,TENNESSEE,847.5
WAUKESHA,WISCONSIN,855.3
ALAMEDA,CALIFORNIA,856.3
MACON,TENNESSEE,856.3
RUSSELL,KENTUCKY,859.2
WARREN,INDIANA,859.4
POLK,TENNESSEE,860.2
VAN BUREN,MICHIGAN,863.1
WILLIAMSON,TENNESSEE,863.4
BLAINE,IDAHO,869.2
SMITH,TENNESSEE,871.3
CHARLES,MARYLAND,887.7
MARQUETTE,WISCONSIN,894.8
GILES,TENNESSEE,897.7
BUTLER,KENTUCKY,901.9
TEHAMA,CALIFORNIA,909.6
ORANGE,INDIANA,913.6999999999999
MADISON,ALABAMA,921.2
WOOD,WISCONSIN,928.1
PIKE,OHIO,930.3
VERNON,WISCONSIN,937.5
JEFFERSON,INDIANA,940.9
SPOTSYLVANIA,VIRGINIA,942.0
CHESTER,TENNESSEE,943.7
GREENE,INDIANA,947.7
TRIMBLE,KENTUCKY,948.8
FLEMING,KENTUCKY,952.7
SPENCER,KENTUCKY,956.7
CLARK,IDAHO,967.1
SCOTT,KENTUCKY,967.9
ANNE ARUNDEL,MARYLAND,974.7
PUTNAM,INDIANA,977.6
JAMES CITY,VIRGINIA,982.0
BRUNSWICK,VIRGINIA,982.7
SHELBY,TENNESSEE,982.8
LIMESTONE,ALABAMA,986.3
CLERMONT,OHIO,989.4
OSCEOLA,MICHIGAN,993.5
MASON,KENTUCKY,993.8
LOUISA,VIRGINIA,996.8
ALCONA,MICHIGAN,998.8
LIVINGSTON,KENTUCKY,1000.2
SAN BENITO,CALIFORNIA,1001.8
CLARKE,VIRGINIA,1003.4
MORGAN,INDIANA,1003.8
WOODFORD,KENTUCKY,1007.1
MARION,TENNESSEE,1010.1
OAKLAND,MICHIGAN,1010.5
BLEDSOE,TENNESSEE,1015.4
FOUNTAIN,INDIANA,1019.7
RIVERSIDE,CALIFORNIA,1023.2
ALLEN,KENTUCKY,1027.3
ADAIR,KENTUCKY,1043.3
LYON,KENTUCKY,1044.4
GRAND TRAVERSE,MICHIGAN,1045.6
IMPERIAL,CALIFORNIA,1051.7
LUNENBURG,VIRGINIA,1060.4
CLARE,MICHIGAN,1070.7
CALVERT,MARYLAND,1077.6
ST MARYS,MARYLAND,1083.8
VIGO,INDIANA,1087.1
HANCOCK,KENTUCKY,1087.3
JUNEAU,WISCONSIN,1090.8
MISSAUKEE,MICHIGAN,1099.4
HARRISON,KENTUCKY,1101.6
MONTMORENCY,MICHIGAN,1110.4
GOOCHLAND,VIRGINIA,1116.7
WEBSTER,KENTUCKY,1120.6
CHESTERFIELD,VIRGINIA,1123.3
HENRICO,VIRGINIA,1129.0
HENRY,KENTUCKY,1135.1
YUBA,CALIFORNIA,1137.8
HENDERSON,TENNESSEE,1159.9
LANCASTER,VIRGINIA,1163.0
PULASKI,INDIANA,1164.9
MARSHALL,KENTUCKY,1172.7
SUSSEX,DELAWARE,1177.4
WAUSHARA,WISCONSIN,1182.4
MUHLENBERG,KENTUCKY,1182.5
PARKE,INDIANA,1189.0
SCIOTO,OHIO,1191.6
CLARK,INDIANA,1193.8
TETON,IDAHO,1197.8
LASSEN,CALIFORNIA,1199.1
LAFAYETTE,WISCONSIN,1201.7
HOPKINS,KENTUCKY,1214.1
CLEARWATER,IDAHO,1214.8
WASHINGTON,KENTUCKY,1215.3
SULLIVAN,INDIANA,1218.0
SHASTA,CALIFORNIA,1219.4
MARSHALL,TENNESSEE,1221.3
FRANKLIN,IDAHO,1225.0
GRAYSON,KENTUCKY,1227.1
CLARK,WISCONSIN,1227.4
KENT,DELAWARE,1227.8
